customer_id,occupation,income,age,residency,customer_type,risk_category,account_count,income_tier_fixed,income_tier_percentile,avg_spend_txn_count,avg_total_spend,avg_txn_amount,max_txn_amount_seen,total_odd_hour_txns,avg_channel_diversity,avg_location_diversity,total_international_txns,avg_weekday_txn_count,avg_weekend_txn_count,active_months,spend_e-commerce,spend_electronics,spend_fuel,spend_grocery,spend_pharmacy,spend_restaurants,spend_retail,spend_utilities,total_category_spend,pct_spend_e-commerce,pct_spend_electronics,pct_spend_fuel,pct_spend_grocery,pct_spend_pharmacy,pct_spend_restaurants,pct_spend_retail,pct_spend_utilities
BUS100000,Business Owner,93112.0,43.0,Resident,Individual,Medium,1,Mass Affluent,Q3,9.666666666666666,61988.426666666666,6414.922502233877,29642.44,0.0,4.416666666666667,7.833333333333333,18.0,7.25,2.4166666666666665,12.0,23435.67,231385.49,12690.26,112807.96,5752.32,11841.48,28140.97,30061.46,456115.61,0.051380986500330475,0.5072957051393177,0.027822463695114492,0.2473231731753272,0.012611539429663457,0.025961575838195933,0.06169701142216992,0.0659075447998809
BUS100001,Self-Employed,26956.0,56.0,Resident,Corporate,Medium,1,Mass,Q1 - Bottom 25%,8.916666666666666,22126.211666666666,2513.52435266354,13478.0,0.0,4.333333333333333,7.666666666666667,15.0,6.25,2.6666666666666665,12.0,30883.09,82130.46,16060.94,84785.97,6251.41,13434.89,12325.210000000001,19642.57,265514.54000000004,0.11631411974651179,0.3093256587755985,0.06048986997096279,0.31932703195840045,0.02354451097103759,0.05059945116376677,0.046420094357167783,0.07397926305655425
BUS100002,Business Owner,365706.0,39.0,Resident,Joint,Low,1,HNI,Q4 - Top 25%,10.25,50071.76833333333,4944.73816025641,36424.19,0.0,4.333333333333333,8.75,14.0,8.0,2.25,12.0,60536.15,205394.12,17184.54,152608.84,18010.399999999998,20334.27,60367.53,39174.67,573610.52,0.10553528551045403,0.35807244260443477,0.029958550969392962,0.2660495836094498,0.031398308385278566,0.03544961134952685,0.10524132297992024,0.0682948945915427
BUS100003,Self-Employed,21703.0,38.0,Non-Resident,Joint,Low,2,Mass,Q1 - Bottom 25%,10.333333333333334,27675.814166666667,2652.97158231352,10851.5,0.0,4.333333333333333,8.75,16.0,7.416666666666667,2.9166666666666665,12.0,31903.73,86812.0,14109.79,93711.92,3108.8,8322.52,16158.15,23791.39,277918.3,0.11479535532564786,0.3123651807023863,0.050769560694635806,0.33719233314250985,0.01118602121558746,0.029945922956494772,0.05813992817313578,0.0856056977896022
BUS100004,Self-Employed,184794.0,64.0,Non-Resident,Corporate,High,1,Affluent,Q4 - Top 25%,11.333333333333334,52730.44416666666,4724.746552077552,31375.37,0.0,4.666666666666667,9.5,20.0,8.083333333333334,3.25,12.0,121887.81,183232.43,6826.99,181698.29,23163.21,31738.3,33196.22,51022.08,632765.3300000001,0.1926271940341611,0.28957406689775494,0.010789134101263101,0.2871495661748724,0.036606319755224256,0.05015808941365355,0.05246213473800784,0.08063349488506268
BUS100005,Self-Employed,115638.0,64.0,Non-Resident,Joint,Low,3,Mass Affluent,Q3,10.916666666666666,95298.17416666668,8743.892712449588,40472.51,0.0,4.583333333333333,8.333333333333334,13.0,7.666666666666667,3.25,12.0,25493.11,249014.01,8568.3,117890.98,12547.11,10441.08,32708.08,22288.84,478951.51,0.053226912260909254,0.5199148657032108,0.017889702446078518,0.24614387372951385,0.02619703610497021,0.02179986863388321,0.06829100507481436,0.046536736046619835
BUS100006,Business Owner,360043.0,43.0,Resident,Joint,Low,1,HNI,Q4 - Top 25%,11.583333333333334,142890.48750000002,12632.69428499741,120207.89,0.0,4.666666666666667,9.666666666666666,14.0,8.583333333333334,3.0,12.0,54735.87,121570.04000000001,17025.510000000002,160465.16,23002.05,14186.59,56482.59,34137.59,481605.4,0.11365294076852128,0.25242665468451975,0.035351576207409634,0.33318804149621245,0.04776119619921205,0.029456874860622408,0.11727981040079699,0.07088290538270542
BUS100007,Self-Employed,188519.0,65.0,Resident,Joint,Medium,1,Affluent,Q4 - Top 25%,11.5,94217.69083333334,8234.098737179487,64031.7,0.0,4.5,9.666666666666666,20.0,8.666666666666666,2.8333333333333335,12.0,102668.95999999999,111122.87000000001,4468.68,167372.08000000002,11716.94,20602.06,38265.15,37142.82,493359.56000000006,0.20810169362077424,0.22523708672028164,0.009057653610685074,0.3392496944824582,0.023749291490368606,0.041758712448989536,0.07756036996627773,0.07528549766016492
BUS100008,Self-Employed,172969.0,37.0,Non-Resident,Individual,Medium,1,Affluent,Q4 - Top 25%,12.166666666666666,95645.22916666667,7793.9488174603175,57674.43,0.0,4.5,10.666666666666666,18.0,8.583333333333334,3.5833333333333335,12.0,88604.28,188551.29,34352.73,155728.63,19153.02,22585.73,34636.380000000005,41092.62,584704.68,0.15153680658071694,0.32247268826375736,0.058752274738078036,0.2663372388262738,0.03275674140319862,0.038627585467590236,0.059237391429806927,0.07027927329057808
BUS100009,Business Owner,368255.0,47.0,Non-Resident,Corporate,Medium,1,HNI,Q4 - Top 25%,12.083333333333334,165926.65916666668,13864.832826719576,140464.96,0.0,4.583333333333333,10.166666666666666,15.0,8.416666666666666,3.6666666666666665,12.0,51834.23,233265.27,26397.86,187978.75,14279.32,18941.6,35494.090000000004,42539.09,610730.21,0.0848725495337786,0.38194486891355844,0.043223439037017676,0.3077934363194511,0.023380733040862675,0.031014676676956916,0.058117462373443105,0.06965283410493153
